scenario,size,run,encrypt_ms,cipher_bytes,decrypt_ms,relay_ms,translate_ms,total_e2e_ms
baseline,large,run01,0.0,2008.0,0.0,3.9,,4.3
baseline,large,run02,0.0,2008.0,0.0,3.9,,4.3
baseline,large,run03,0.0,2008.0,0.0,4.5,,4.8
baseline,large,run04,0.0,2008.0,0.0,3.4,,3.6
baseline,large,run05,0.0,2008.0,0.0,3.5,,3.7
baseline,medium,run01,0.0,239.0,0.0,3.9,,4.1
baseline,medium,run02,0.0,239.0,0.0,3.2,,3.2
baseline,medium,run03,0.0,239.0,0.0,3.8,,4.0
baseline,medium,run04,0.0,239.0,0.0,3.3,,3.5
baseline,medium,run05,0.0,239.0,0.0,3.4,,3.8
baseline,small,run01,0.0,35.0,0.0,3.5,,3.6
baseline,small,run02,0.0,35.0,0.0,3.8,,3.9
baseline,small,run03,0.0,35.0,0.0,3.7,,4.0
baseline,small,run04,0.0,35.0,0.0,3.9,,3.9
baseline,small,run05,0.0,35.0,0.0,3.6,,3.6
e2ee,large,run01,0.4,2699.0,0.2,5.8,,6.1
e2ee,large,run02,0.3,2699.0,0.1,4.8,,5.5
e2ee,large,run03,0.2,2699.0,0.4,4.2,,5.1
e2ee,large,run04,0.7,2699.0,0.3,4.5,,5.2
e2ee,large,run05,0.6,2699.0,0.2,4.8,,5.5
e2ee,medium,run01,0.5,340.0,0.2,5.1,,5.9
e2ee,medium,run02,0.9,340.2,0.2,3.9,,4.6
e2ee,medium,run03,0.3,340.0,0.1,3.9,,4.1
e2ee,medium,run04,0.1,340.0,0.3,5.6,,6.1
e2ee,medium,run05,0.1,340.0,0.2,4.8,,5.2
e2ee,small,run01,0.5,68.0,0.2,4.1,,4.5
e2ee,small,run02,0.2,68.0,0.3,4.0,,4.8
e2ee,small,run03,0.4,68.0,0.1,3.8,,4.9
e2ee,small,run04,0.2,68.0,0.4,3.5,,4.4
e2ee,small,run05,0.5,68.0,0.3,3.6,,4.3
e2ee_translate,large,run01,0.4,2699.0,0.5,5.0,882.8,889.0
e2ee_translate,large,run02,0.4,2699.0,0.7,5.1,877.8,883.5
e2ee_translate,large,run03,0.2,2699.0,0.1,5.9,898.7,905.3
e2ee_translate,large,run04,0.5,2699.0,0.5,3.7,888.8,893.5
e2ee_translate,large,run05,0.4,2699.0,0.3,5.6,885.3,891.4
e2ee_translate,medium,run01,0.2,340.0,0.1,4.1,203.3,207.7
e2ee_translate,medium,run02,0.3,340.0,0.4,3.9,206.3,211.0
e2ee_translate,medium,run03,0.3,340.0,0.1,4.5,201.9,206.5
e2ee_translate,medium,run04,0.2727272727272727,340.0,0.0,3.5,201.9,206.0
e2ee_translate,medium,run05,0.4,340.0,0.3,4.0,203.2,207.8
e2ee_translate,small,run01,0.5,68.0,0.4,7.1,215.7,223.6
e2ee_translate,small,run02,0.5,68.0,0.2,4.7,94.0,98.8
e2ee_translate,small,run03,0.4,68.0,0.3,5.5,94.3,100.5
e2ee_translate,small,run04,0.4,68.0,0.0,4.4,90.6,95.5
e2ee_translate,small,run05,0.4,68.0,0.3,4.9,92.7,98.2
